id,name,sequence,description
1,Education,10,Wikipedia category name (en): Education
2,"Education, sports and creative industries ministers of Antigua and Barbuda",20,"Wikipedia category name (en): Education, sports and creative industries ministers of Antigua and Barbuda"
3,Education-related YouTube channels,30,Wikipedia category name (en): Education-related YouTube channels
4,Education-related lists,40,Wikipedia category name (en): Education-related lists
5,Education-related lists by continent,50,Wikipedia category name (en): Education-related lists by continent
6,Education-related professional associations,60,Wikipedia category name (en): Education-related professional associations
7,Education Board in Bangladesh,70,Wikipedia category name (en): Education Board in Bangladesh
8,Education City,80,Wikipedia category name (en): Education City
9,Education Foundations associated with Zhejiang University,90,Wikipedia category name (en): Education Foundations associated with Zhejiang University
10,Education Institution from Arunachal Pradesh,100,Wikipedia category name (en): Education Institution from Arunachal Pradesh
11,Education International,110,Wikipedia category name (en): Education International
12,Education Management Corporation,120,Wikipedia category name (en): Education Management Corporation
13,Education Program Structure proposals,130,Wikipedia category name (en): Education Program Structure proposals
14,Education Program namespace,140,Wikipedia category name (en): Education Program namespace
15,Education University of Hong Kong,150,Wikipedia category name (en): Education University of Hong Kong
16,Education WikiProjects,160,Wikipedia category name (en): Education WikiProjects
17,Education academic writers,170,Wikipedia category name (en): Education academic writers
18,Education activism,180,Wikipedia category name (en): Education activism
19,Education activists,190,Wikipedia category name (en): Education activists
20,Education activists by nationality,200,Wikipedia category name (en): Education activists by nationality
21,Education administration in Northern Ireland,210,Wikipedia category name (en): Education administration in Northern Ireland
22,Education advocacy groups,220,Wikipedia category name (en): Education advocacy groups
23,Education and Research ministers of Estonia,230,Wikipedia category name (en): Education and Research ministers of Estonia
24,Education and Science in Brazil articles by importance,240,Wikipedia category name (en): Education and Science in Brazil articles by importance
25,Education and Science in Brazil articles by quality,250,Wikipedia category name (en): Education and Science in Brazil articles by quality
26,Education and Science in Brazil task force articles,260,Wikipedia category name (en): Education and Science in Brazil task force articles
27,Education and Social affairs ministers of Estonia,270,Wikipedia category name (en): Education and Social affairs ministers of Estonia
28,Education and culture ministers of Timor-Leste,280,Wikipedia category name (en): Education and culture ministers of Timor-Leste
29,Education and culture ministers of Uruguay,290,Wikipedia category name (en): Education and culture ministers of Uruguay
30,Education and health,300,Wikipedia category name (en): Education and health
31,Education and higher education ministers of São Tomé and Príncipe,310,Wikipedia category name (en): Education and higher education ministers of São Tomé and Príncipe
32,Education and research in Tromsø,320,Wikipedia category name (en): Education and research in Tromsø
33,"Education and science, youth and sport ministers of Ukraine",330,"Wikipedia category name (en): Education and science, youth and sport ministers of Ukraine"
34,Education and science in Brazil articles by importance,340,Wikipedia category name (en): Education and science in Brazil articles by importance
35,Education and science in Brazil articles by quality,350,Wikipedia category name (en): Education and science in Brazil articles by quality
36,Education and science in Brazil articles needing attention,360,Wikipedia category name (en): Education and science in Brazil articles needing attention
37,Education and science in Brazil articles needing infoboxes,370,Wikipedia category name (en): Education and science in Brazil articles needing infoboxes
38,Education and science in Brazil task force,380,Wikipedia category name (en): Education and science in Brazil task force
39,Education and science in Brazil task force articles,390,Wikipedia category name (en): Education and science in Brazil task force articles
40,Education and science ministers of Ukraine,400,Wikipedia category name (en): Education and science ministers of Ukraine
41,Education and training establishments of the Soviet Army,410,Wikipedia category name (en): Education and training establishments of the Soviet Army
42,Education and training occupations,420,Wikipedia category name (en): Education and training occupations
43,Education articles by importance,430,Wikipedia category name (en): Education articles by importance
44,Education articles by quality,440,Wikipedia category name (en): Education articles by quality
45,Education articles needing expert attention,450,Wikipedia category name (en): Education articles needing expert attention
46,Education award winners,460,Wikipedia category name (en): Education award winners
47,Education awards,470,Wikipedia category name (en): Education awards
48,Education awards by country,480,Wikipedia category name (en): Education awards by country
49,Education bibliographies,490,Wikipedia category name (en): Education bibliographies
50,Education boards in Khyber Pakhtunkhwa,500,Wikipedia category name (en): Education boards in Khyber Pakhtunkhwa
51,Education boards in Pakistan,510,Wikipedia category name (en): Education boards in Pakistan
52,"Education boards in Punjab, Pakistan",520,"Wikipedia category name (en): Education boards in Punjab, Pakistan"
53,Education boards in Sindh,530,Wikipedia category name (en): Education boards in Sindh
54,Education book stubs,540,Wikipedia category name (en): Education book stubs
55,"Education buildings in Central Province, Sri Lanka",550,"Wikipedia category name (en): Education buildings in Central Province, Sri Lanka"
56,"Education buildings in Eastern Province, Sri Lanka",560,"Wikipedia category name (en): Education buildings in Eastern Province, Sri Lanka"
57,"Education buildings in North Central Province, Sri Lanka",570,"Wikipedia category name (en): Education buildings in North Central Province, Sri Lanka"
58,"Education buildings in North Western Province, Sri Lanka",580,"Wikipedia category name (en): Education buildings in North Western Province, Sri Lanka"
59,"Education buildings in Northern Province, Sri Lanka",590,"Wikipedia category name (en): Education buildings in Northern Province, Sri Lanka"
60,Education buildings in Sabaragamuwa Province,600,Wikipedia category name (en): Education buildings in Sabaragamuwa Province
61,"Education buildings in Southern Province, Sri Lanka",610,"Wikipedia category name (en): Education buildings in Southern Province, Sri Lanka"
62,Education buildings in Sri Lanka,620,Wikipedia category name (en): Education buildings in Sri Lanka
63,Education buildings in Sri Lanka by city,630,Wikipedia category name (en): Education buildings in Sri Lanka by city
64,Education buildings in Sri Lanka by district,640,Wikipedia category name (en): Education buildings in Sri Lanka by district
65,Education buildings in Sri Lanka by province,650,Wikipedia category name (en): Education buildings in Sri Lanka by province
66,Education buildings in Uva Province,660,Wikipedia category name (en): Education buildings in Uva Province
67,"Education buildings in Western Province, Sri Lanka",670,"Wikipedia category name (en): Education buildings in Western Province, Sri Lanka"
68,Education by century,680,Wikipedia category name (en): Education by century
69,Education by continent,690,Wikipedia category name (en): Education by continent
70,Education by country,700,Wikipedia category name (en): Education by country
71,Education by country and populated place,710,Wikipedia category name (en): Education by country and populated place
72,Education by country subdivision,720,Wikipedia category name (en): Education by country subdivision
73,Education by decade,730,Wikipedia category name (en): Education by decade
74,Education by dependent territory,740,Wikipedia category name (en): Education by dependent territory
75,Education by first-level administrative country subdivision,750,Wikipedia category name (en): Education by first-level administrative country subdivision
76,Education by former colony,760,Wikipedia category name (en): Education by former colony
77,Education by former country,770,Wikipedia category name (en): Education by former country
