id,name,sequence,description
1,Level-10 games,10,Wikipedia category name (en): Level-10 games
2,Level-1 vital articles by quality,20,Wikipedia category name (en): Level-1 vital articles by quality
3,Level-2 vital articles by quality,30,Wikipedia category name (en): Level-2 vital articles by quality
4,Level-3 vital articles by quality,40,Wikipedia category name (en): Level-3 vital articles by quality
5,Level-4 vital articles by quality,50,Wikipedia category name (en): Level-4 vital articles by quality
6,Level-5 (company),60,Wikipedia category name (en): Level-5 (company)
7,Level-5 (company) franchises,70,Wikipedia category name (en): Level-5 (company) franchises
8,Level-5 (company) games,80,Wikipedia category name (en): Level-5 (company) games
9,Level-5 (company) media files,90,Wikipedia category name (en): Level-5 (company) media files
10,Level-5 vital articles by quality,100,Wikipedia category name (en): Level-5 vital articles by quality
11,Level-zero userbox templates,110,Wikipedia category name (en): Level-zero userbox templates
12,Level 10 gymnasts,120,Wikipedia category name (en): Level 10 gymnasts
13,Level 1 trauma centers,130,Wikipedia category name (en): Level 1 trauma centers
14,Level 3 Communications,140,Wikipedia category name (en): Level 3 Communications
15,Level 42 albums,150,Wikipedia category name (en): Level 42 albums
16,Level 42 members,160,Wikipedia category name (en): Level 42 members
17,Level 42 songs,170,Wikipedia category name (en): Level 42 songs
18,Level 5 Motorsports drivers,180,Wikipedia category name (en): Level 5 Motorsports drivers
19,Level 9 Computing games,190,Wikipedia category name (en): Level 9 Computing games
20,Level Infinite games,200,Wikipedia category name (en): Level Infinite games
21,Level Mountain,210,Wikipedia category name (en): Level Mountain
22,Level Plane Records EPs,220,Wikipedia category name (en): Level Plane Records EPs
23,Level Plane Records albums,230,Wikipedia category name (en): Level Plane Records albums
24,Level Plane Records artists,240,Wikipedia category name (en): Level Plane Records artists
25,Level Plane Records compilation albums,250,Wikipedia category name (en): Level Plane Records compilation albums
26,Level Up! Games games,260,Wikipedia category name (en): Level Up! Games games
27,Level crossing accidents,270,Wikipedia category name (en): Level crossing accidents
28,Level crossing accidents in Argentina,280,Wikipedia category name (en): Level crossing accidents in Argentina
29,Level crossing accidents in Australia,290,Wikipedia category name (en): Level crossing accidents in Australia
30,Level crossing accidents in Brazil,300,Wikipedia category name (en): Level crossing accidents in Brazil
31,Level crossing accidents in Canada,310,Wikipedia category name (en): Level crossing accidents in Canada
32,Level crossing accidents in Egypt,320,Wikipedia category name (en): Level crossing accidents in Egypt
33,Level crossing accidents in Germany,330,Wikipedia category name (en): Level crossing accidents in Germany
34,Level crossing accidents in Hungary,340,Wikipedia category name (en): Level crossing accidents in Hungary
35,Level crossing accidents in India,350,Wikipedia category name (en): Level crossing accidents in India
36,Level crossing accidents in Indonesia,360,Wikipedia category name (en): Level crossing accidents in Indonesia
